SampleID	SwabID	Pig	Location	Timepoint	Date	Day	Decomp_Stage	Submerged	Temp	Salinity	ADH	Study	Day2	ADHAVG
FP118	PSControl1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	MSU	NA	NA
FP119	PSControl2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	MSU	NA	NA
P110	P110	1	Spinalchord	4	6/16/2018	10	Advanced_Floating_Decay	N	26	1	6709	MU	Ten	6709
P513	P513	5	Bone	5	6/19/2018	13	Advanced_Floating_Decay	N	31	2	8877	MU	Thirteen	8877
P416	P416	4	Bone	6	6/22/2018	16	Advanced_Floating_Decay	N	33	1	11180.5	MU	Sixteen	11180.5
P516	P516	5	Bone	6	6/22/2018	16	Advanced_Floating_Decay	N	33	1	11180.5	MU	Sixteen	11180.5
P104	P104	1	Leftabdomen	2	6/10/2018	4	Early_Floating	N	32	0	2463.6	MU	Four	2463.6
P204	P204	2	Leftabdomen	2	6/10/2018	4	Early_Floating	N	32	0	2463.6	MU	Four	2463.6
P304	P304	3	Leftabdomen	2	6/10/2018	4	Early_Floating	N	32	0	2463.6	MU	Four	2463.6
P404	P404	4	Leftabdomen	2	6/10/2018	4	Early_Floating	N	32	0	2463.6	MU	Four	2463.6
P504	P504	5	Leftabdomen	2	6/10/2018	4	Early_Floating	N	32	0	2463.6	MU	Four	2463.6
P604	P604	6	Leftabdomen	2	6/10/2018	4	Early_Floating	N	32	0	2463.6	MU	Four	2463.6
P207	P207	2	Topofspine	3	6/13/2018	7	Floating_Decay	N	30	1	4542.1	MU	Seven	4542.1
P407	P407	4	Topofspine	3	6/13/2018	7	Floating_Decay	N	30	1	4542.1	MU	Seven	4542.1
P507	P507	5	Topofspine	3	6/13/2018	7	Floating_Decay	N	30	1	4542.1	MU	Seven	4542.1
P310	P310	3	leftleg	4	6/16/2018	10	Floating_Decay	N	26	1	6709	MU	Ten	6709
P410	P410	4	Righthindleg	4	6/16/2018	10	Floating_Decay	N	26	1	6709	MU	Ten	6709
P510	P510	5	Lhindleg	4	6/16/2018	10	Floating_Decay	N	26	1	6709	MU	Ten	6709
P101	P101	1	Centerportionontopofskull	1	6/7/2018	1	Submerged_Fresh	Y	28	0.1	556.7	MU	One	556.7
P201	P201	2	Centerportionontopofskull	1	6/7/2018	1	Submerged_Fresh	Y	28	0.1	556.7	MU	One	556.7
P301	P301	3	Centerportionontopofskull	1	6/7/2018	1	Submerged_Fresh	Y	28	0.1	556.7	MU	One	556.7
P401	P401	4	Centerportionontopofskull	1	6/7/2018	1	Submerged_Fresh	Y	28	0.1	556.7	MU	One	556.7
P501	P501	5	Centerportionontopofskull	1	6/7/2018	1	Submerged_Fresh	Y	28	0.1	556.7	MU	One	556.7
P601	P601	6	Centerportionontopofskull	1	6/7/2018	1	Submerged_Fresh	Y	28	0.1	556.7	MU	One	556.7
P610	P610	6	Vertebrae	4	6/16/2018	10	Sunken_Remains	Y	26	1	6709	MU	Ten	6709
P113	P113	1	Vertebrae	5	6/19/2018	13	Sunken_Remains	Y	31	2	8877	MU	Thirteen	8877
P313	P313	3	Bone	5	6/19/2018	13	Sunken_Remains	Y	31	2	8877	MU	Thirteen	8877
P613	P613	6	Bone	5	6/19/2018	13	Sunken_Remains	Y	31	2	8877	MU	Thirteen	8877
P116	P116	1	Bone	6	6/22/2018	16	Sunken_Remains	Y	33	1	11180.5	MU	Sixteen	11180.5
P216	P216	2	Bone	6	6/22/2018	16	Sunken_Remains	Y	33	1	11180.5	MU	Sixteen	11180.5
P616	P616	6	Bone	6	6/22/2018	16	Sunken_Remains	Y	33	1	11180.5	MU	Sixteen	11180.5
P119	P119	1	Bone	7	6/25/2018	19	Sunken_Remains	Y	29	3	13394.6	MU	Nineteen	13394.6
P219	P219	2	Bone	7	6/25/2018	19	Sunken_Remains	Y	29	3	13394.6	MU	Nineteen	13394.6
P319	P319	3	Bone	7	6/25/2018	19	Sunken_Remains	Y	29	3	13394.6	MU	Nineteen	13394.6
P419	P419	4	Bone	7	6/25/2018	19	Sunken_Remains	Y	29	3	13394.6	MU	Nineteen	13394.6
P519	P519	5	Bone	7	6/25/2018	19	Sunken_Remains	Y	29	3	13394.6	MU	Nineteen	13394.6
